implementation,workload,op,size_label,bw_MB_s_mean,bw_MB_s_std,p99_ms_mean
Baseline (VM),seq,read,100M,289.5571516666667,1.9344546123795,0.6294186666666667
Baseline (VM),seq,read,500M,307.180204,16.815435085459832,0.6621866666666666
Baseline (VM),seq,read,1G,289.97217133333334,1.2108833529573926,0.6239573333333334
Baseline (VM),rand,read,100M,186.30021766666667,2.9760473567497696,0.8942933333333333
Baseline (VM),rand,read,500M,183.27712566666665,6.895757582923092,0.9270613333333332
Baseline (VM),rand,read,1G,178.96965666666665,2.6475624215656146,0.929792
Baseline (VM),mix,read,100M,93.327038,8.064851647365618,1.2642986666666667
Baseline (VM),mix,read,500M,97.26317333333334,3.348146180045362,1.0622293333333335
Baseline (VM),mix,read,1G,76.68080633333334,21.030387141426385,4.762282666666667
Baseline (VM),mix,write,100M,93.88622233333332,8.13319781407598,0.7632213333333334
Baseline (VM),mix,write,500M,97.730617,3.4825183460276206,0.6731093333333332
Baseline (VM),mix,write,1G,77.340431,20.60983102171968,2.82624
ML (Red Neuronal),seq,read,100M,364.1078193333333,2.2249539286399203,1.1277653333333333
ML (Red Neuronal),seq,read,500M,439.44920866666666,1.7245245536165563,0.5748053333333334
ML (Red Neuronal),seq,read,1G,409.7075766666667,3.7685834434713565,0.9898666666666666
ML (Red Neuronal),rand,read,100M,189.18788166666664,0.6490174503827636,1.646592
ML (Red Neuronal),rand,read,500M,215.883,1.388040200257548,0.9161386666666665
ML (Red Neuronal),rand,read,1G,197.4271176666667,0.8934140784151157,1.4609066666666666
ML (Red Neuronal),mix,read,100M,116.49825033333333,8.370878582333958,1.29024
ML (Red Neuronal),mix,read,500M,67.64876066666666,58.67437403425131,64.67447466666667
ML (Red Neuronal),mix,read,1G,74.91972933333334,19.04300107377081,8.645290666666666
ML (Red Neuronal),mix,write,100M,116.75163099999999,7.8662565859804605,0.7632213333333334
ML (Red Neuronal),mix,write,500M,67.77142366666668,58.666256277949905,88.85316266666668
ML (Red Neuronal),mix,write,1G,75.744513,18.87124605358605,7.441066666666667
