workload,op,size_label,runs,bw_MB_s_mean,bw_MB_s_std,iops_mean,p99_ms_mean
seq,read,100M,3,364.1078193333333,2.2249539286399203,2777.922208,1.1277653333333333
seq,read,500M,3,439.44920866666666,1.7245245536165563,3352.7313933333335,0.5748053333333334
seq,read,1G,3,409.7075766666667,3.7685834434713565,3125.820751333333,0.9898666666666666
rand,read,100M,3,189.18788166666664,0.6490174503827636,1443.388994,1.646592
rand,read,500M,3,215.883,1.388040200257548,1647.056581,0.9161386666666665
rand,read,1G,3,197.4271176666667,0.8934140784151157,1506.249375,1.4609066666666666
mix,read,100M,3,116.49825033333333,8.370878582333958,888.8111186666666,1.29024
mix,read,500M,3,67.64876066666666,58.67437403425131,516.1190866666667,64.67447466666667
mix,read,1G,3,74.91972933333334,19.04300107377081,571.5921783333333,8.645290666666666
mix,write,100M,3,116.75163099999999,7.8662565859804605,890.7442586666666,0.7632213333333334
mix,write,500M,3,67.77142366666668,58.666256277949905,517.0549333333333,88.85316266666668
mix,write,1G,3,75.744513,18.87124605358605,577.884777,7.441066666666667
